source,target,score
868,22939,24.34
868,7299,24.37
868,7702,24.43
868,13673,24.43
868,24344,24.43
868,17233,24.44
868,2269,24.44
868,20358,24.45
868,13620,24.45
868,25557,24.46
868,16464,24.48
868,1556,24.49
868,6298,24.49
868,1808,24.5
868,24579,24.51
868,22363,24.51
868,22083,24.52
868,16277,24.52
868,19353,24.54
868,25044,24.55
868,22105,24.57
868,9203,24.58
868,6124,24.59
868,13755,24.62
868,2539,24.62
868,11793,24.62
868,18605,24.63
868,8331,24.64
868,25357,24.64
868,4936,24.66
868,22203,24.66
868,21502,24.68
868,24000,24.71
868,15913,24.72
891,18624,19.86
891,24251,21.77
891,9556,22.09
891,15641,22.21
891,2156,22.33
891,7194,22.45
891,21554,22.48
891,18655,22.51
891,10475,22.51
891,11364,22.56
891,16984,22.6
891,11809,22.62
891,15267,22.66
891,19633,22.66
891,25005,22.87
891,25812,22.93
891,2840,22.95
891,2104,22.96
891,4681,22.97
891,22953,23.02
891,5205,23.06
891,20674,23.12
891,10815,23.17
891,19436,23.2
891,1994,23.26
891,7933,23.29
891,23715,23.3
891,9218,23.39
891,19431,23.42
891,18293,23.45
891,3334,23.46
891,5412,23.47
891,13393,23.48
891,3504,23.57
891,9902,23.59
891,9203,23.6
891,8161,23.61
891,12025,23.64
891,21394,23.64
891,17938,23.66
891,1556,23.68
891,14559,23.7
891,13158,23.7
891,2539,23.72
891,5323,23.75
891,13450,23.79
891,5559,23.8
891,14719,23.82
891,1561,23.85
891,10093,23.85
891,20289,23.87
891,1907,23.88
891,19833,23.88
891,25753,23.88
891,18997,23.91
891,24003,23.92
891,2792,23.92
891,15746,23.94
891,23151,23.97
891,15813,23.98
891,4977,24.03
891,13044,24.04
891,2165,24.05
891,23775,24.07
891,17194,24.08
891,1463,24.1
891,24906,24.14
891,23680,24.15
891,12201,24.15
891,13843,24.17
891,22145,24.17
891,21100,24.2
891,13009,24.2
891,24579,24.22
891,1839,24.24
891,12204,24.25
891,13016,24.27
891,15894,24.27
891,7148,24.29
891,15873,24.29
891,15902,24.3
891,10615,24.3
891,894,24.35
891,13675,24.35
891,5544,24.36
891,25027,24.37
891,6018,24.37
891,20211,24.37
891,18605,24.39
891,20058,24.41
891,19758,24.41
891,22872,24.43
